Question,Category,Recommended Approach,Risk without / Expected Impact with Research,Status,Roadmap item,First seen,Last seen
"Does the multilingual demand for this feature extend beyond the UI chrome to answer & source language (insights 101, 214, 43), and if so, should scope widen?",AI Core,e.g. Survey,"Refresh 2026-08-19: the answer-language insights now carry 33 votes against the selector's 6, and the database holds 15 language insights / 60 mentions in total. Risk without: the selector ships and the actual complaint is untouched. Impact with: scope is set against where the demand really sits.",Open,Implement UI language selector,2026-08-11,2026-08-19
"When a user sets a UI language, what do they expect to happen to answers, citations and uploaded documents — does the setting govern all of them?",AI Core,Concept test of the selector with three interpretations of scope,Risk without: the selector is read as a global language switch and generates support load when answers stay mixed (insight 214). Impact with: the setting's promise matches its behaviour.,Open,Implement UI language selector,2026-08-19,2026-08-19
"For Swiss and cross-border users, must retrieval stay language-agnostic regardless of the UI setting (insights 414, 221, 465)?",AI Core,"Interviews with the Swiss Publisher account plus 2–3 cross-border Corporate/Big Law users, using real multilingual mandates",Risk without: a language setting silently narrows the source corpus and turns a preference into incomplete legal research. Impact with: the boundary between interface language and retrieval language is defined before it is coded.,Open,Implement UI language selector,2026-08-19,2026-08-19
"Is the real ask behind “appropriate language” (insight 101, 18 mentions) a language setting at all, or German legal register — Rubrum, Anschreiben, Gutachtenstil, citation style (insight 459)?",Squad Drafting,Document analysis of user-corrected outputs + interviews with the Lime Survey respondents who reported register errors,Risk without: the largest language cluster in the database is filed under a setting that cannot address it. Impact with: register and citation convention are scoped as their own workstream.,Open,Implement UI language selector,2026-08-19,2026-08-19
"Which concrete tasks are blocked (not just slowed) for screen-reader and keyboard-only users across chat, Matrix Analysis and the Word add-in?",Cross-squad,Moderated usability test with assistive-technology users,"Risk without: the SVA gap analysis is remediated at component level while whole legal workflows stay unusable end-to-end. Impact with: a ranked, workflow-level remediation backlog instead of a WCAG checklist.",Open,Improve Accessibility,2026-08-19,2026-08-19
Do our public-sector and judiciary customers carry a procurement-level accessibility requirement (BITV 2.0 / EN 301 549) that Noxtua must evidence?,Go-to-market,Structured interviews with procurement / IT contacts at existing public-sector accounts,Risk without: an accessibility conformance statement is requested in a tender and cannot be substantiated. Impact with: requirements are known before they become deal-blockers.,Open,Improve Accessibility,2026-08-19,2026-08-19
"Why has accessibility produced zero of 383 insights and zero of 293 Featurebase posts — is demand genuinely absent, or are affected users absent from our feedback channels?",Research ops,Audit of feedback-channel reach + screener question in the next survey wave,Risk without: a silent-population blind spot is mistaken for low demand and the item is deprioritised on false evidence. Impact with: we learn whether the absence of signal is real.,Open,Improve Accessibility,2026-08-19,2026-08-19
"What is the minimum accessible baseline for AI-specific interaction patterns (streaming answers, live-updating Matrix cells, inline citations) that no WCAG success criterion describes well?",AI Core,Expert review with the external agency + literature scan,Risk without: standard remediation passes the audit but the AI-specific surfaces remain unusable. Impact with: reusable interaction patterns for every future AI feature.,Open,Improve Accessibility,2026-08-19,2026-08-19
"Do the features marked implemented (tracked changes 255, supporting documents 392, add-in chat history 393/394) actually work in the field — post 487 still reports failures from 2026-07-23?",Squad Drafting,"Verification test of the released behaviour with 5 add-in users, against the original insight wording","Risk without: stabilisation is scoped around features believed to be done, and the same complaints keep arriving through support. Impact with: the difference between “released” and “works” is measured before the sprint is planned.",Open,Word Add-in Stabilisation,2026-08-19,2026-08-19
"Which web-app capabilities do add-in users actually miss in the drafting moment, and in what order — is the named set (@mentioning, EU License, Voice Input) the right one?",Cross-squad,Parity audit + contextual inquiry with 5 heavy add-in users,"Risk without: parity is delivered as a feature checklist while the real friction sits elsewhere. Impact with: the stabilisation scope is ordered by workflow cost, not by list order.",Open,Word Add-in Stabilisation,2026-08-19,2026-08-19
"How often does the session actually drop, and does the auto-logout (insight 472) correlate with abandonment of the add-in for that document?",Platform,Telemetry analysis on session length and re-authentication events,Risk without: a 6-vote report is treated as an irritation when it may be the single largest driver of add-in churn. Impact with: the defect is sized and can be prioritised against feature parity honestly.,Open,Word Add-in Stabilisation,2026-08-19,2026-08-19
