"id","insight","type","sourceTypes","source","userGroup","squads","features","country","status","mentions","quotes","notes","created","lastModified","sentiment","publisher","jira","isNew","unclassified"
"30","The user doesn't understand how to use the workflows.","Idea","Direct Feedback","Continous_Direct_Feedback_corporate","Corporate Law Department","","Workflows","All","New - Not yet discussed","1","","","2025-10-08","2026-02-02","Mixed","","","true","true"
"41","The user needs support in writing successful prompts.","Missing Feature","Direct Feedback;Interview Study;Usability Testing","Continous_Direct_Feedback_corporate,202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms","Corporate Law Department; Mixed; Big Law Firm; Big Law Firm","AI Squad;Platform Squad","Chat","All","Planned for development","10","","","2025-10-08","2026-02-12","Negative","","","false","false"
"42","The user needs a choice between different versions of the LLM.","Idea","Direct Feedback;Interview Study","Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","Corporate Law Department; Big Law Firm","","","All","New - Not yet discussed","2","","","2025-10-08","2026-02-02","Mixed","","","true","true"
"43","The non-native speaker needs help in translating the results of a search.","Missing Feature","Direct Feedback","Continous_Direct_Feedback_corporate","Corporate Law Department","Platform Squad","","All","New - Not yet discussed","3","","","2025-10-08","2026-02-02","Negative","","","true","true"
"44","The user needs the the answers and citations to be matching.","General Feedback","Direct Feedback","Continous_Direct_Feedback_corporate,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey","Corporate Law Department; Mixed; Mixed","AI Squad","","All","Well done - positive feedback outweighs negative","25","","Improved with release of Beck Noxtua and is reported to be: The initial test results look very good. The insertion of citations is now largely correct. In the Feedback Survey for the post-agentic release only 5 out of 70 participants mention mistmatches.

December 2025: +1

","2025-10-08","2026-02-02","Negative","Beck Germany","","false","true"
"45","The user needs the tool to take over at least parts of his task reliably so that he has the biggest benefit of using the tool.","General Feedback","Direct Feedback","2025_10_Beck_Feedback_Survey","Mixed","AI Squad","Research","All","New - Not yet discussed","2","Perspektive/Effizienz: Die „Wunschvorstellung“ ist, dass man wissenschaftliche Mitarbeiter „jedenfalls in Teilen sparen“ kann, wenn Agenten die Recherche auf ähnlichem Niveau übernehmen.

„Das ist wie wenn man auf den Pool von wissenschaftlichen Mitarbeitern zugreift. Da kann man mal Glück haben und manchmal hat man Pech … und wenn man richtig Pech hat, dann kriegt man … einen renitenten wissenschaftlichen Mitarbeiter…“
","","2025-10-08","2026-02-02","Negative","Beck Germany","","true","false"
"46","The user needs the answers to be precise and on point so that his time is efficiently used.","General Feedback","Direct Feedback","2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_big_law_firm","Mixed; Mixed; Big Law Firm","AI Squad","","All","Identified - JIRA ticket exists","18","","Since Release:
1 good
1 bad","2025-10-08","2026-02-02","Negative","Beck Germany","","false","true"
"47","The user needs also information for very specific topics to be available so that he can use the tool for their tasks.","General Feedback","Direct Feedback","Continous_Direct_Feedback_small_law_firm","Small Law Firm","","Research","All","New - Not yet discussed","0","","","2025-10-08","2026-02-02","Negative","","","true","true"
"48","The user needs the AI generated template to have a high quality.","General Feedback","Direct Feedback","Continous_Direct_Feedback_small_law_firm","Small Law Firm","AI Squad","Templates","All","New - Not yet discussed","1","""Das könnte so viel besser sein, wenn es eben mit den Mustern trainiert wäre und dann das Beste, wenn drei oder vier Muster, die es ja durchaus gibt für bestimmte Bereiche""","","2025-10-09","2026-02-02","Negative","","","true","false"
"50","The user needs to know which data is available in the system so that they can be sure that the right sources can be used.","Improvement","Direct Feedback","Continous_Direct_Feedback_small_law_firm,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate","Small Law Firm; Mixed; Corporate Law Department","AI Squad;Platform Squad","Research","All","New - Not yet discussed","4","","","2025-10-09","2026-02-17","Negative","Beck Germany","","true","false"
