board,post_status,reason,insight_id,insight_status,matched_via,title,url,post_id
Feature Request,In Review,no insight match,,,,The user needs to have document citations for relevant passages not for the full document only.,https://noxtua.featurebase.app/p/the-user-needs-to-have-document-citations-for-relevant-passages,6a6ccbbf84800d6b14f4c105
Feature Request,In Review,no insight match,,,,"The user needs custom, savable agents (""Gems"") for recurring tasks.",https://noxtua.featurebase.app/p/the-user-needs-custom-savable-agents-gems-for-recurring-tasks,6a6ccbbbae4aea0e96dffa8d
Feature Request,In Review,no insight match,,,,The user needs configurable citation length — shorter inline citations while keeping full-length citations available elsewhere.,https://noxtua.featurebase.app/p/the-user-needs-configurable-citation-length-shorter-inline-citations-while,6a6ccbb94ee14d9752f88e2a
Feature Request,In Review,no insight match,,,,The user needs to be able to create and use templates in multiple languages without creating a template per language.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-create-and-use,6a6ccbb7f8e5d9da85151d2d
Feature Request,In Review,no insight match,,,,The user needs to be able to collapse or minimize the question box so answers get more screen space.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-collapse-or-minimize,6a6ccbb58a3d03519fefc180
Feature Request,In Review,no insight match,,,,The user needs to be able to create templates for Matrix Analysis.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-create-templates-for,6a6ccbacd361a8379e29c518
Feature Request,In Review,no insight match,,,,The user needs to be able to duplicate an existing Matrix Analysis.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-duplicate-an-existing,6a6ccbaaae4aea0e96df3cf5
Feature Request,In Review,no insight match,,,,The (non-admin) user needs to be able to create private templates for themselves.,https://noxtua.featurebase.app/p/the-non-admin-user-needs-to-be-able-to-create,6a6ccba695b6184de99d9257
Feature Request,In Review,no insight match,,,,"The user needs Swiss court decisions to be chunked and cited at the ""Erwägung"" level rather than by fixed size, matching the court's own reasoning structure.",https://noxtua.featurebase.app/p/the-user-needs-swiss-court-decisions-to-be-chunked-and,6a6ccba48a3d03519feed8c2
Feature Request,In Review,no insight match,,,,The user needs to be able to resize Matrix Analysis column widths.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-resize-matrix-analysis,6a6ccba3d361a8379e293724
Feature Request,In Review,no insight match,,,,The user needs to be able to duplicate existing templates for reuse in similar use cases with slight variations.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-duplicate-existing-templates,6a6ccba195b6184de99d85a7
Feature Request,In Review,no insight match,,,,"The user needs conditional formatting (e.g. colour, bold, flags) in Matrix Analysis cells, triggered by prompt results.",https://noxtua.featurebase.app/p/the-user-needs-conditional-formatting-eg-colour-bold-flags-in,6a6ccb9fd361a8379e2935cd
Feature Request,In Review,New – Not yet discussed,502,New – Not yet discussed,insight_id_field,"The user-input feature should allow both text and file input, not either/or.",https://noxtua.featurebase.app/p/the-user-input-feature-should-allow-both-text-and-file,6a6ccb8f84800d6b14f2bc8e
Feature Request,In Review,New – Not yet discussed,492,New – Not yet discussed,insight_id_field,"The user needs to be able to accept only a selected part of a proposed clause/suggestion into the document, rather than the whole suggestion.",https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-accept-only-a,6a6ccb8293655bd982b249a3
Feature Request,In Review,New – Not yet discussed,489,New – Not yet discussed,insight_id_field,"The user needs a copy button in the Editor, like the one available in the chat.",https://noxtua.featurebase.app/p/the-user-needs-a-copy-button-in-the-editor-like,6a6ccb7e4ee14d9752f5e3dd
Feature Request,In Review,New – Not yet discussed,487,New – Not yet discussed,insight_id_field,"The user needs comments/annotations placed directly at the relevant location in the document, with a settable commenter name and clearer colour coding, for direct hand-off into Word.",https://noxtua.featurebase.app/p/the-user-needs-commentsannotations-placed-directly-at-the-relevant-location,6a6ccb7c84800d6b14f1e546
Feature Request,In Review,New – Not yet discussed,480,New – Not yet discussed,insight_id_field,"The users need to be able to work on their mobile phone, e.g. through an iOS app.",https://noxtua.featurebase.app/p/the-users-need-to-be-able-to-work-on-their,6a6ccb76d361a8379e26a532
Feature Request,In Review,New – Not yet discussed,479,New – Not yet discussed,insight_id_field,Users want in-product support — a phone line or live chat directly in the interface.,https://noxtua.featurebase.app/p/users-want-in-product-support-a-phone-line-or-live,6a6ccb74ae4aea0e96dd78c3
Feature Request,In Review,New – Not yet discussed,477,New – Not yet discussed,insight_id_field,The users need generated output delivered as a downloadable PPTX file.,https://noxtua.featurebase.app/p/the-users-need-generated-output-delivered-as-a-downloadable-pptx,6a6ccb728a3d03519fed085c
Feature Request,In Review,New – Not yet discussed,465,New – Not yet discussed,insight_id_field,The user needs edits on one side of a two-column bilingual document to propagate automatically to the other side across the entire document.,https://noxtua.featurebase.app/p/the-user-needs-edits-on-one-side-of-a-two,6a6ccb6795b6184de99b632b
Feature Request,In Review,New – Not yet discussed,464,New – Not yet discussed,insight_id_field,"Users want to reference documents inline in the editor via @ mentions, and reference existing chats via @ to pull documents and results from them.",https://noxtua.featurebase.app/p/users-want-to-reference-documents-inline-in-the-editor-via,6a6ccb6593655bd982b1a90d
Feature Request,In Review,New – Not yet discussed,463,New – Not yet discussed,insight_id_field,Users want template generation that consolidates overlaps across similar documents and surfaces differences as optional text blocks.,https://noxtua.featurebase.app/p/users-want-template-generation-that-consolidates-overlaps-across-similar-documents,6a6ccb63d361a8379e26838e
Feature Request,In Review,New – Not yet discussed,459,New – Not yet discussed,insight_id_field,Users want configurable citation style; the default citation format is unusual in German legal scholarship and practice.,https://noxtua.featurebase.app/p/users-want-configurable-citation-style-the-default-citation-format-is,6a6ccb5fa53a5c328326fd60
Feature Request,In Review,New – Not yet discussed,456,New – Not yet discussed,insight_id_field,The user needs access to answers from previous sessions in order to maintain continuity across chats.,https://noxtua.featurebase.app/p/the-user-needs-access-to-answers-from-previous-sessions-in,6a6ccb5c95b6184de99b5661
