id,insight,type,sourceTypes,source,userGroup,squads,features,country,status,mentions,quotes,notes,created,lastModified,sentiment,publisher,jira,isNew,unclassified,core_insight,insight_type,mention_count,source_label,customer_segment,affected_squads,affected_features,mentionHistory,statusHistory,qa_reviewed,qa_reviewed_at,featurebase_id,featurebase_board_id,featurebase_synced_at,featurebase_votes
30,Users don't understand how to set up workflow automations within the tool.,Idea,Direct Feedback,Continous_Direct_Feedback_corporate,Corporate Law Department,,Workflows,All,Identified - JIRA ticket exists,1,,,2025-10-08,2026-07-08,Mixed,,,true,true,Users don't understand how to set up workflow automations within the tool.,Idea,1,Continous_Direct_Feedback_corporate,Corporate Law Department,,Workflows,"[{""date"": ""2026-06-22"", ""count"": 1, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""status"": ""Identified - JIRA ticket exists""}]",,,,,,
41,The user needs support in writing successful prompts.,Missing Feature,Direct Feedback;Interview Study;Usability Testing,"Continous_Direct_Feedback_corporate,202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms,Direct_Feedback_2026_06,Vattenfall Feedback Call – 2026-07-13",Corporate Law Department; Mixed; Big Law Firm,AI Squad;Platform Squad,Chat,All,Planned for development,14,"Prompt-Techniken als Schablone im Chat-Fenster einblenden. | [2026-07-22] ""eine Assistenzfunktion, die … ungenaues Prompting erkennt und … Hinweise … gibt"" (CSM 56); ""eine promptverbesserung … wenn der … Prompt zu unspezifisch ist"" (SELF 21) | [2026-07-13] ""Improve your prompt Button"" (Vattenfall Feedback Call – 2026-07-13)",,2025-10-08,2026-08-10,Negative,,,false,false,The user needs support in writing successful prompts.,Missing Feature,14,"Continous_Direct_Feedback_corporate,202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms,Direct_Feedback_2026_06,Vattenfall Feedback Call – 2026-07-13",Corporate Law Department; Mixed; Big Law Firm,AI Squad;Platform Squad,Chat,"[{""date"": ""2026-06-22"", ""count"": 10, ""source"": ""baseline"", ""status"": ""Planned for development""}, {""count"": 11, ""date"": ""2026-06-29"", ""source"": ""feedback_batch_20260629"", ""status"": ""Planned for development""}, {""date"": ""2026-07-22"", ""count"": 13, ""source"": ""feedback_batch_20260722"", ""status"": ""Planned for development""}, {""date"": ""2026-08-10"", ""count"": 14, ""source"": ""merged from Vattenfall Feedback Call – 2026-07-13 (improve-prompt button idea) (+1)""}]","[{""date"": ""2026-06-22"", ""status"": ""Planned for development""}]",,,6a51215392665376ac3e33d0,,2026-07-10T17:25:23.054421Z,11
42,The user needs a choice between different versions of the LLM.,Idea,Direct Feedback;Interview Study,"Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms",Corporate Law Department; Big Law Firm,,,All,Identified - JIRA ticket exists,2,,,2025-10-08,2026-07-08,Mixed,,,true,true,The user needs a choice between different versions of the LLM.,Idea,2,"Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms",Corporate Law Department; Big Law Firm,,,"[{""date"": ""2026-06-22"", ""count"": 2, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""status"": ""Identified - JIRA ticket exists""}]",,,,,,
43,The user needs the tool to translate search results into their preferred language.,Missing Feature,Direct Feedback,Continous_Direct_Feedback_corporate,Corporate Law Department,Platform Squad,,All,Identified - JIRA ticket exists,3,,,2025-10-08,2026-07-09,Negative,,,true,true,The user needs the tool to translate search results into their preferred language.,Missing Feature,3,Continous_Direct_Feedback_corporate,Corporate Law Department,Platform Squad,,"[{""date"": ""2026-06-22"", ""count"": 3, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""status"": ""Identified - JIRA ticket exists""}]",,,6a51215e92665376ac3e8ec0,,2026-07-10T17:25:24.161953Z,3
44,The user needs the the answers and citations to be matching.,General Feedback,Direct Feedback,"Continous_Direct_Feedback_corporate,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,Vattenfall Feedback Call – 2026-07-13",Corporate Law Department; Mixed,AI Squad,,All,Well done - positive feedback outweighs negative,26,"[2026-07-13] ""Urteil wiederlegt eigene Aussage, obwohl als Zita/Beleg für Gegenmeinung"" (Vattenfall Feedback Call – 2026-07-13)","Improved with release of Beck Noxtua and is reported to be: The initial test results look very good. The insertion of citations is now largely correct. In the Feedback Survey for the post-agentic release only 5 out of 70 participants mention mistmatches.

December 2025: +1

",2025-10-08,2026-08-10,Negative,Beck Germany,,false,true,The user needs the the answers and citations to be matching.,General Feedback,26,"Continous_Direct_Feedback_corporate,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,Vattenfall Feedback Call – 2026-07-13",Corporate Law Department; Mixed,AI Squad,,"[{""date"": ""2026-06-22"", ""count"": 25, ""source"": ""baseline"", ""status"": ""Well done - positive feedback outweighs negative""}, {""date"": ""2026-08-10"", ""count"": 26, ""source"": ""merged from Vattenfall Feedback Call – 2026-07-13 (citation contradicts cited point) (+1)""}]","[{""date"": ""2026-06-22"", ""status"": ""Well done - positive feedback outweighs negative""}]",,,,,,
45,The user needs the tool to take over at least parts of his or associates tasks reliably so that he has the biggest benefit of using the tool.,General Feedback,Direct Feedback,2025_10_Beck_Feedback_Survey,Mixed,AI Squad,Research,All,Identified - JIRA ticket exists,2,"Perspektive/Effizienz: Die „Wunschvorstellung“ ist, dass man wissenschaftliche Mitarbeiter „jedenfalls in Teilen sparen“ kann, wenn Agenten die Recherche auf ähnlichem Niveau übernehmen.

„Das ist wie wenn man auf den Pool von wissenschaftlichen Mitarbeitern zugreift. Da kann man mal Glück haben und manchmal hat man Pech … und wenn man richtig Pech hat, dann kriegt man … einen renitenten wissenschaftlichen Mitarbeiter…“
",,2025-10-08,2026-07-08,Negative,Beck Germany,,true,false,The user needs the tool to take over at least parts of his or associates tasks reliably so that he has the biggest benefit of using the tool.,General Feedback,2,2025_10_Beck_Feedback_Survey,Mixed,AI Squad,Research,"[{""date"": ""2026-06-22"", ""count"": 2, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-08-10"", ""status"": ""Identified - JIRA ticket exists""}]",,,,,,
46,The user needs the answers to be precise and on point so that his time is efficiently used.,General Feedback,Direct Feedback,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_big_law_firm,Direct_Feedback_2026_06",Mixed; Big Law Firm,AI Squad,,All,Identified - JIRA ticket exists,21,"Zu lehrbuchartig; eigentliche Antwort enthalten, aber nicht gut auffindbar.","Since Release:
1 good
1 bad",2025-10-08,2026-07-06,Negative,Beck Germany,,false,true,The user needs the answers to be precise and on point so that his time is efficiently used.,General Feedback,21,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_big_law_firm,Direct_Feedback_2026_06",Mixed; Big Law Firm,AI Squad,,"[{""date"": ""2026-06-22"", ""count"": 18, ""source"": ""baseline"", ""status"": ""Identified - JIRA ticket exists""}, {""count"": 21, ""date"": ""2026-06-29"", ""source"": ""feedback_batch_20260629"", ""status"": ""Identified - JIRA ticket exists""}]","[{""date"": ""2026-06-22"", ""status"": ""Identified - JIRA ticket exists""}]",,,,,,
47,The user needs also information for very specific topics to be available so that he can use the tool for their tasks.,General Feedback,Direct Feedback,Continous_Direct_Feedback_small_law_firm,Small Law Firm,,Research,All,New – Not yet discussed,1,,,2025-10-08,2026-02-02,Negative,,,true,true,The user needs also information for very specific topics to be available so that he can use the tool for their tasks.,General Feedback,1,Continous_Direct_Feedback_small_law_firm,Small Law Firm,,Research,"[{""date"": ""2026-06-22"", ""count"": 1, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}]",,,,,,
50,The user needs to know which data is available in the system so that they can be sure that the right sources can be used.,Improvement,Direct Feedback,"Continous_Direct_Feedback_small_law_firm,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate",Small Law Firm; Mixed; Corporate Law Department,AI Squad;Platform Squad,Research,All,Identified - JIRA ticket exists,4,,,2025-10-09,2026-07-08,Negative,Beck Germany,,true,false,The user needs to know which data is available in the system so that they can be sure that the right sources can be used.,Improvement,4,"Continous_Direct_Feedback_small_law_firm,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate",Small Law Firm; Mixed; Corporate Law Department,AI Squad;Platform Squad,Research,"[{""date"": ""2026-06-22"", ""count"": 4, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""status"": ""Identified - JIRA ticket exists""}]",,,,,,
53,"The user needs the answers to be adapted to their level of expertise, that they can work best with the answers.",Improvement,Direct Feedback;Workshop,"Continous_Direct_Feedback_small_law_firm,2025_11_Zalando_Hackathon",Small Law Firm; Corporate Law Department,AI Squad,,All,Identified - JIRA ticket exists,2,,,2025-10-09,2026-02-02,Negative,,,true,true,"The user needs the answers to be adapted to their level of expertise, that they can work best with the answers.",Improvement,2,"Continous_Direct_Feedback_small_law_firm,2025_11_Zalando_Hackathon",Small Law Firm; Corporate Law Department,AI Squad,,"[{""date"": ""2026-06-22"", ""count"": 2, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-08-10"", ""status"": ""Identified - JIRA ticket exists""}]",,,,,,
