source_label,source_type,customer_segment,country,date,core_insight,insight_type,sentiment,status,mention_count,affected_squads,affected_features,citation
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,"Getting an overview of an unfamiliar legal area (insolvency law) through research is perceived as clearly better than Microsoft Copilot, their previous comparison baseline.",General Feedback,Positive,New – Not yet discussed,1,AI Squad,Research,
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,Users benchmark Noxtua against ChatGPT Premium and miss agent-style presets they can set up once and reuse.,Missing Feature,Mixed,New – Not yet discussed,1,Workflow Squad,Skills,"LKS: privat ChatGPT premium, dort gut Agenten bzw PromptBibliothek"
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,Users benchmark Noxtua against ChatGPT Premium and miss a reusable prompt library.,Missing Feature,Mixed,New – Not yet discussed,1,Workflow Squad,Templates,"LKS: privat ChatGPT premium, dort gut Agenten bzw PromptBibliothek"
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,"When researching a specific problem, Noxtua only conceded that a cited source did not exist after the user explicitly asked. Users want it to state clearly and unprompted when something does not exist.",Improvement,Negative,New – Not yet discussed,1,AI Squad,Citations;Sources,
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,"For a guideline supplied as an external source carrying annotations from three different stakeholders, the summary delivered 5–6 well-reasoned wording alternatives, including why a given formulation fits a given fact pattern.",General Feedback,Positive,New – Not yet discussed,1,Drafting Squad,,"sehr gute ZusFas mit 5-6 verschiedenen guten Lösungen. Gut begründet, auch warum welche Formulierung für welchen Sachverhalt besser ist, zB Lös1 zum Ausschluss von Willkür"
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,"Users want to view and browse the content templates provided by the publisher, and see example templates as inspiration for their own drafting.",Missing Feature,Mixed,New – Not yet discussed,1,Drafting Squad,Templates,
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,"Using Noxtua to challenge previously written briefs worked as a use case, but source referencing in that scenario was noticeably weak.",Improvement,Negative,New – Not yet discussed,1,AI Squad,Sources,
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,"Recent case law that is publicly available is missing from the sources, which lowers the perceived added value over free internet research.",Improvement,Negative,New – Not yet discussed,1,AI Squad,Research;Sources,
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,"Coverage of legal literature is rated very strong, with case law also good.",General Feedback,Positive,New – Not yet discussed,1,AI Squad,Research;Sources,
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,"Users want scholarly disputes (Meinungsstreit) and unsettled legal questions presented explicitly as contested, rather than as a single confident answer.",Missing Feature,Negative,New – Not yet discussed,1,AI Squad,Research;Citations,"P: ich kann nicht genau sagen, ob es das Zitat gibt. Ich habe die RsprLinie korrekt wiedergeben"
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,Operation of the tool was experienced as intuitive.,General Feedback,Positive,New – Not yet discussed,1,,,
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,Users want a dictation / voice input function comparable to what ChatGPT and Gemini offer.,Missing Feature,Mixed,New – Not yet discussed,1,AI Interaction,Voice Control,
Direct_Feedback_Corp_002_08_2026,Direct Feedback,Corporate Law Department,Germany,2026-08-20,Compliance stakeholders need an ISO-certification status update and access to the Trust Center before the purchase decision can move forward.,Missing Feature,Mixed,New – Not yet discussed,1,,Trust Center,
