id,insight,status,type,mentions,notes_for_reviewer,reviewed
30,Users don't understand how to set up workflow automations within the tool.,Identified - JIRA ticket exists,Idea,1,,true
41,The user needs support in writing successful prompts.,Planned for development,Missing Feature,13,,true
42,The user needs a choice between different versions of the LLM.,Identified - JIRA ticket exists,Idea,2,,true
43,The user needs the tool to translate search results into their preferred language.,Identified - JIRA ticket exists,Missing Feature,3,,true
44,The user needs the the answers and citations to be matching.,Well done - positive feedback outweighs negative,General Feedback,25,,true
45,The user needs the tool to take over at least parts of his or associates tasks reliably so that he has the biggest benefit of using the tool.,New – Not yet discussed,General Feedback,2,,true
46,The user needs the answers to be precise and on point so that his time is efficiently used.,Identified - JIRA ticket exists,General Feedback,21,,true
47,The user needs also information for very specific topics to be available so that he can use the tool for their tasks.,New – Not yet discussed,General Feedback,1,,true
50,The user needs to know which data is available in the system so that they can be sure that the right sources can be used.,Identified - JIRA ticket exists,Improvement,4,,true
53,"The user needs the answers to be adapted to their level of expertise, that they can work best with the answers.",New – Not yet discussed,Improvement,2,,true
55,The user needs to be able to use the tool to draft text snippets so that they can save time.,Well done - positive feedback outweighs negative,General Feedback,3,,true
58,The user needs the tool to be transparent if it does not have any sources available.,Identified - JIRA ticket exists,Improvement,5,,true
60,The user needs the tool to chose the sources based on the nature of the question. E.g. Formularhandbücher used as a substitute source: unsuitable for doctrinal questions.,New – Not yet discussed,General Feedback,1,,true
62,The user needs a complete list of the sources additionally to synthesized results.,Identified - JIRA ticket exists,Improvement,3,,true
69,The user needs the direct citations and no indirect ones of a secondary source.,Identified - JIRA ticket exists,Improvement,4,,true
70,The user needs to be able to give feedback regarding the quality of the task fulfillment.,New – Not yet discussed,Missing Feature,2,,true
71,The user needs the tool to make own deductions beyond the provision and integration of feedback.,Identified - JIRA ticket exists,Improvement,4,,true
72,The user needs the tool to also provide them with alternative perspectives not only e.g. with the predominant one.,Identified - JIRA ticket exists,Improvement,5,,true
74,"The user wants to be able to add additional (e.g. internal) data and cases to the tool, so that it can integrate this data as well.",Planned for development,Missing Feature,21,,true
75,The user needs to be able to customize the tool to fit to their individual or company internal policies or preferences.,Identified - JIRA ticket exists,Missing Feature,13,,true
76,The user needs to have insights into the sources of the provided answer in order to verify results easier.,Well done - positive feedback outweighs negative,General Feedback,67,,true
77,The users have different needs for the level of detail of the answer.,Identified - JIRA ticket exists,Missing Feature,8,,true
78,The user would like to be able to see exactly from which part of a source the model derived the answer.,Identified - JIRA ticket exists,Missing Feature,11,,true
79,The user needs to be able to understand which steps the AI takes to derive the results.,Well done - positive feedback outweighs negative,General Feedback,28,,true
80,The user would like to be able to integrate their thoughts with the official information from the provided sources.,New – Not yet discussed,Improvement,2,,true
81,"The user needs transparency about data security measures to be sure that their data is being treated confidentially and is not distributed, but only locally on their machine.",Implemented - a solution is released,General Feedback,7,,true
82,The user wants to be able to share generated matrixes with their colleagues.,New – Not yet discussed,Missing Feature,1,,true
83,The user needs to be able to generate customized workflows in order to handle complex tasks.,Implemented - a solution is released,Missing Feature,13,,true
84,The user needs to be able to import on Matrixes to provide the system with more information.,Implemented - a solution is released,Missing Feature,1,,true
86,The user needs to be able to access templates from the word-add-in in order to have everything in one place.,Planned for development,Missing Feature,1,,true
87,The user needs help in optimizing the content of a document regarding their needs.,Planned for development,Idea,5,,true
88,The user wants to be able to see and decide on proposed changes in order to stay in control.,Implemented - a solution is released,General Feedback,2,,true
90,The user wants to be supported in taking the right measures to a request.,New – Not yet discussed,Idea,2,,true
93,"The user needs the tool to be accessible and usable within their familiar working environment, especially if they have less technical proficiency.",Implemented - a solution is released,General Feedback,8,,true
94,"The user needs to be able to stick with their custom formatting and fonts, in order not having to reformat their document.",Implemented - a solution is released,Improvement,3,,true
96,The user needs a general workflow to check the different types of documents.,New – Not yet discussed,General Feedback,1,,true
