legacy_id,insight_type,status,country,sentiment,insight,mentions,source,jira_tickets,notes,is_new,unclassified,created_at,modified_at
76,General Feedback,Well done - positive feedback outweighs negative,All,Negative,The user needs to have insights into the sources of the provided answer in order to verify results easier.,65,"Continous_Direct_Feedback_big_law_firm,2025_11_Beck_Feedback_Survey_2,2025_11_Zalando_Hackathon,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions,Continous_Direct_Feedback_corporate,Bayrische_Landesbank_042026","","",f,f,2025-10-14,2026-04-23
103,General Feedback,Well done - positive feedback outweighs negative,All,Positive,The users need to have a reliable data base as the source of the answers.,63,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_GovernmentInstitutions,2025_11_Personas_M_B_Lawfirms,Bayrische_Landesbank_042026","","",f,f,2025-10-15,2026-04-23
102,General Feedback,Identified - JIRA ticket exists,All,Negative,The user needs the answers to have a high accuracy to be beneficial to him.,60,"2025_10_Beck_Feedback_Survey,2025_11_Zalando_Hackathon,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_GovernmentInstitutions,Continous_Direct_Feedback_Prosecution_Judges,Publisher Feedback - Swiss,Publisher Feedback - Beck Germany",CS-1073; CS-1074; CS-1075; CS-1076; CS-1077; CS-1078; CS-1079; CS-1080; CS-1081; CS-1082; CS-1083; CS-1084; CS-1085; CS-1086; CS-1087; CS-1088; CS-1089; CS-1090; CS-1091; CS-1092; CS-1106; CS-1107,"In Beck Survey before agentic release
20 say its good
39 say it needs improvement

In Beck Survey after agentic release
13 say its good
22 say it needs improvement

67 (bad) - 34 (good) = 32

Accuracy after release: 
2 good 9 bad",f,t,2025-10-15,2026-05-01
213,General Feedback,Well done - positive feedback outweighs negative,All,Negative,"The user needs to be able to look into the fulltext of the provided answer, in order to make sure that the context also fits the legal case.",40,"2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_GovernmentInstitutions","","",f,f,2025-11-17,2026-03-02
99,General Feedback,Well done - positive feedback outweighs negative,All,Negative,The user needs a clear structure of answers in order to easily understand it.,37,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","","5 participant mentions lacking structure
",f,f,2025-10-15,2026-02-02
187,General Feedback,Well done - positive feedback outweighs negative,All,Positive,The users expect an intuitive handling and interface.,36,"Continous_Direct_Feedback_small_law_firm,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,Continous_Direct_Feedback_GovernmentInstitutions,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate","","40 positive
4 negative",f,f,2025-11-07,2026-02-17
151,Missing Feature,Identified - JIRA ticket exists,All,Negative,"The users would like to be able to use content templates, that can be accessed to draft documents.",30,"202510-Canvas-Interview_Testing,2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2025_12_KnowledgeBase_UCs_Interviews,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-11-04,2026-02-02
79,General Feedback,Well done - positive feedback outweighs negative,All,Negative,The user needs to be able to understand which steps the AI takes to derive the results.,28,"Continous_Direct_Feedback_big_law_firm,202510-Canvas-Interview,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_small_law_firm,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions","","",f,f,2025-10-14,2026-03-02
210,Improvement,Identified - JIRA ticket exists,All,Negative,The user needs the tool to weigh sources accordingly to avoid contradicting or wrong information.,25,"2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_small_law_firm,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_GovernmentInstitutions,Continous_Direct_Feedback_Prosecution_Judges","","",f,f,2025-11-14,2026-04-17
44,General Feedback,Well done - positive feedback outweighs negative,All,Negative,The user needs the the answers and citations to be matching.,25,"Continous_Direct_Feedback_corporate,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey","","Improved with release of Beck Noxtua and is reported to be: The initial test results look very good. The insertion of citations is now largely correct. In the Feedback Survey for the post-agentic release only 5 out of 70 participants mention mistmatches.

December 2025: +1

",f,t,2025-10-08,2026-02-02
144,Improvement,Implemented - a solution is released,All,Negative,The users expect the tool to seamlessly integrate into their current text editing tools (i.e. word).,25,"202510-Canvas-Interview_Testing,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-11-04,2026-02-17
430,Improvement,New - Not yet discussed,,Negative,"LLM produces hallucinated, misleading or legally incorrect explanations across many areas of Swiss law (employment, criminal, family, contract, data protection) and fabricates German court citations (e.g. BGH); even when the conclusion is correct, the reasoning is often flawed. Consolidates 21 systematic Swiss-law QA test reports plus 1 Beck-Noxtua attorney report.",22,Publisher Feedback - Swiss; Publisher Feedback - Beck Germany,CS-1073; CS-1074; CS-1075; CS-1076; CS-1077; CS-1078; CS-1079; CS-1080; CS-1081; CS-1082; CS-1083; CS-1084; CS-1085; CS-1086; CS-1087; CS-1088; CS-1089; CS-1090; CS-1091; CS-1092; CS-1106; CS-1107,"",t,f,2026-01-15,2026-04-30
74,Missing Feature,Identified - JIRA ticket exists,All,Negative,"The user wants to be able to add additional (e.g. internal) data and cases to the tool, so that it can integrate this data as well.",21,"Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm,2025_12_KnowledgeBase_UCs_Interviews","","",f,f,2025-10-13,2026-04-17
98,General Feedback,Well done - positive feedback outweighs negative,All,Negative,The user needs help in gaining an initial overview of a (complex) topic.,21,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,2025_11_Zalando_Hackathon,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-10-15,2026-02-17
162,Missing Feature,Identified - JIRA ticket exists,All,Negative,The users would like to be able to seamlessly use the tool with their email program.,20,"202510-Canvas-Interview_Testing,Continous_Direct_Feedback_corporate,2026_01_Workflow_Expectations_Interview,2025_11_Personas_M_B_Lawfirms,2025_12_Word_Expectations_Usability,2026_02_Personas_Corporate","","",f,f,2025-11-04,2026-05-01
46,General Feedback,Identified - JIRA ticket exists,All,Negative,The user needs the answers to be precise and on point so that his time is efficiently used.,18,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_big_law_firm","","Since Release:
1 good
1 bad",f,t,2025-10-08,2026-02-02
212,Missing Feature,Identified - JIRA ticket exists,All,Negative,"The users would like to be able to use format templates, that can be accessed to draft documents in order to match individual, company or law firm style.",16,"202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,2025_12_KnowledgeBase_UCs_Interviews","","",f,f,2025-11-17,2026-04-08
141,Missing Feature,Well done - positive feedback outweighs negative,All,Negative,The users struggle and wish for help when interacting with the canvas.,15,"202510-Canvas-Interview_Testing,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,Continous_Direct_Feedback_corporate","","",f,f,2025-11-04,2026-02-17
274,Improvement,Identified - JIRA ticket exists,All,Negative,"User wish for a seamless integration of all features within the tool (e.g. Workflows, matrix, Chat).",15,"Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms,2026_01_Workflow_Expectations_Interview,Continous_Direct_Feedback_corporate,2026_Feedback_Survey_3","","",f,f,2026-01-19,2026-04-13
157,Improvement,Implemented - a solution is released,All,Negative,The user wants to be able to only get a high-level overview of the thinking process and only dig deeper on demand.,15,"202510-Canvas-Interview_Testing,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm","","",f,f,2025-11-04,2026-03-05
113,General Feedback,Identified - JIRA ticket exists,All,Negative,The user needs the most recent version of a source to be used instead of an outdated version.,15,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_small_law_firm,Continous_Direct_Feedback_GovernmentInstitutions,Bayrische_Landesbank_042026","","",f,t,2025-10-15,2026-04-23
109,General Feedback,Identified - JIRA ticket exists,All,Negative,The user needs all relevant sources to be available and used for the answer.,15,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-10-15,2026-03-16
148,Improvement,Identified - JIRA ticket exists,All,Negative,"The users would like to interact with the system more conversation like, getting questions and hints back from the system.",14,"202510-Canvas-Interview_Testing,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-11-04,2026-03-16
170,Missing Feature,Planned for development,All,Negative,"The users would like to be able to interact with the tool via voice input, in order to work more efficiently.",14,"202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions,Publisher Feedback - Beck Germany",CS-1028,"",f,f,2025-11-05,2026-04-30
116,Improvement,Identified - JIRA ticket exists,All,Negative,The user needs guidance in case of occuring errors in order to be able to understand what is going wrong.,13,"2025_10_Beck_Feedback_Survey,202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,2025_11_Zalando_Hackathon,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_corporate","","",f,f,2025-10-15,2026-02-17
