source_response_id,version_key,segment,submitted_at,csat_overall,nps_score,ueq_ease_of_use,ueq_transparency,ueq_answer_quality,ueq_system_trust,ux_ease_of_learning,ux_discoverability,ux_design,ux_intuitiveness,csat_workflow_integration
3,v1_CSM,CSM,2025-07-14 02:29:39+00,7.0,9.0,8.0,6.0,9.0,8.0,9.0,9.0,9.0,9.0,
4,v1_CSM,CSM,2025-07-14 02:31:41+00,7.0,10.0,6.0,3.0,2.0,6.0,7.0,7.0,6.0,8.0,
5,v1_CSM,CSM,2025-07-14 02:32:51+00,7.0,7.0,4.0,4.0,6.0,7.0,8.0,9.0,5.0,8.0,
6,v1_CSM,CSM,2025-07-14 02:33:58+00,6.0,8.0,6.0,4.0,3.0,7.0,8.0,7.0,5.0,7.0,
7,v1_CSM,CSM,2025-07-18 09:08:12+00,5.0,6.0,6.0,7.0,6.0,9.0,9.0,8.0,9.0,9.0,
8,v1_CSM,CSM,2025-08-12 23:04:04+00,8.0,8.0,7.0,6.0,8.0,8.0,8.0,6.0,7.0,7.0,
9,v1_CSM,CSM,2025-08-13 00:20:49+00,8.0,10.0,9.0,5.0,5.0,8.0,9.0,9.0,9.0,9.0,
10,v1_CSM,CSM,2025-08-19 04:14:10+00,5.0,6.0,6.0,9.0,9.0,8.0,8.0,8.0,9.0,,
11,v1_CSM,CSM,2025-08-19 07:39:59+00,7.0,7.0,7.0,3.0,5.0,9.0,7.0,8.0,6.0,8.0,
12,v1_CSM,CSM,2025-08-19 22:22:56+00,6.0,5.0,5.0,5.0,8.0,7.0,8.0,8.0,7.0,9.0,
13,v1_CSM,CSM,2025-08-21 07:37:40+00,8.0,7.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,
14,v1_CSM,CSM,2025-08-22 07:47:12+00,7.0,8.0,6.0,3.0,5.0,5.0,7.0,8.0,7.0,8.0,
15,v1_CSM,CSM,2025-08-25 23:19:29+00,8.0,8.0,7.0,5.0,5.0,6.0,8.0,8.0,6.0,8.0,
16,v1_CSM,CSM,2025-08-26 00:54:28+00,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,
17,v1_CSM,CSM,2025-08-27 08:45:18+00,8.0,8.0,8.0,4.0,8.0,9.0,10.0,,10.0,10.0,
18,v1_CSM,CSM,2025-08-28 08:20:48+00,7.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,6.0,8.0,
19,v1_CSM,CSM,2025-09-01 23:31:20+00,5.0,3.0,5.0,8.0,8.0,5.0,10.0,7.0,7.0,7.0,
20,v1_CSM,CSM,2025-09-02 04:31:33+00,7.0,7.0,3.0,6.0,6.0,2.0,7.0,6.0,7.0,7.0,
21,v1_CSM,CSM,2025-09-03 06:25:56+00,9.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,
22,v1_CSM,CSM,2025-09-04 06:56:56+00,7.0,7.0,7.0,7.0,6.0,8.0,9.0,9.0,6.0,8.0,
23,v1_CSM,CSM,2025-09-04 09:28:28+00,6.0,5.0,6.0,3.0,5.0,7.0,7.0,8.0,6.0,7.0,
24,v1_CSM,CSM,2025-09-05 01:42:35+00,7.0,9.0,8.0,6.0,7.0,8.0,9.0,9.0,8.0,9.0,
25,v1_CSM,CSM,2025-09-05 01:55:17+00,7.0,7.0,9.0,5.0,10.0,4.0,10.0,10.0,10.0,10.0,
26,v1_CSM,CSM,2025-09-05 03:22:24+00,4.0,4.0,4.0,2.0,2.0,8.0,5.0,3.0,6.0,6.0,
27,v1_CSM,CSM,2025-09-05 04:57:57+00,5.0,7.0,,8.0,8.0,9.0,9.0,9.0,9.0,9.0,
28,v1_CSM,CSM,2025-09-05 07:10:31+00,7.0,6.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,
29,v1_CSM,CSM,2025-09-07 04:56:10+00,9.0,10.0,7.0,6.0,4.0,9.0,6.0,6.0,3.0,6.0,
30,v1_CSM,CSM,2025-09-08 05:35:12+00,4.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,
31,v1_CSM,CSM,2025-09-08 23:42:33+00,7.0,8.0,6.0,8.0,9.0,8.0,8.0,6.0,8.0,8.0,
32,v1_CSM,CSM,2025-09-09 05:02:39+00,8.0,9.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,
33,v1_CSM,CSM,2025-09-10 02:25:36+00,7.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,
34,v1_CSM,CSM,2025-09-10 02:35:11+00,6.0,6.0,6.0,5.0,7.0,8.0,10.0,9.0,9.0,10.0,
35,v1_CSM,CSM,2025-09-11 07:19:28+00,4.0,5.0,5.0,6.0,2.0,2.0,6.0,6.0,6.0,6.0,
